상품명,년도,수량
3M 스폰지수세미(135),2023,240.0
3M 철수세미,2023,6624.0
EVA우의(백색),2023,300.0
NBR장갑(10켤레)(L),2023,0.0
NBR장갑(10켤레)(L)(U),2023,0.0
NBR장갑(10켤레)(M),2023,0.0
New태화특대(적),2023,7277.0
New태화특대(투),2023,1900.0
New태화특대(핑),2023,3800.0
PU제전장갑(M)top(10P),2023,0.0
고탄력도트 흰색 대,2023,0.0
고탄력블루 대(L),2023,310.0
고탄력블루 롱-대(L),2023,0.0
고탄력블루 롱-소(S),2023,0.0
고탄력블루 롱-중(M),2023,0.0
고탄력블루 소(S),2023,2640.0
고탄력블루 중(M),2023,910.0
금강산,2023,104200.0
나비검정니트릴위생장갑100매(L),2023,0.0
나비라텍스위생장갑(L),2023,3000.0
나비라텍스위생장갑(M),2023,6000.0
나비라텍스위생장갑(S),2023,3000.0
나비면(메리야스)완전코팅5P,2023,2000.0
나비파랑니트릴위생장갑100매(L),2023,0.0
나비파랑니트릴위생장갑100매(M),2023,3000.0
나이스황이중코팅,2023,29500.0
나이스황이중코팅(제니스)(XL),2023,2900.0
나일론내피(M)청,2023,0.0
나일론내피(M)회(10P),2023,0.0
다목적 접이식 가방,2023,1.0
대광PVC,2023,8955.0
대광TC예식,2023,513333.0
대광고무장갑(M)투,2023,6116.0
대광고무장갑(M)핑,2023,54750.0
대광고무장갑M(300입)적,2023,67020.0
대광고무장갑식품용-콤비(S)투명,2023,-136.0
대광고무장갑주름(L)투,2023,8864.0
대광고무장갑주름(L)핑,2023,54586.0
대광고무장갑특대(XL)투,2023,20.0
대광고무장갑특대(XL)핑,2023,9290.0
대광공업용황10호,2023,52079.0
대광공업용황12호,2023,9993.0
대광공업용황9호,2023,42242.0
대광공업용흑10호,2023,5176.0
대광공업용흑9호,2023,5657.0
대광기누(L)백(10P)(3-4L),2023,442.0
대광기누(L)살(10P),2023,1423.0
대광기누(L)청(10P)(3-2L),2023,11297.0
대광기누(L)커(10P),2023,1290.0
대광기누(L)홍(10P)(3-3L),2023,2910.0
대광기누(M)백(10P),2023,25.0
대광기누(M)살(10P),2023,330.0
대광기누(M)청(10P)(3-2M),2023,5573.0
대광기누(M)커(10P),2023,400.0
대광기누(M)홍(10P)(3-3M),2023,500.0
대광기누(청)상L(10P),2023,350.0
대광기누(청)상M(10P),2023,320.0
대광기모고무장갑,2023,94622.0
대광노랑반코팅(10P),2023,8416.0
대광노랑반코팅(10P)(A),2023,81951.0
대광노랑반코팅(10P)(J)(A),2023,9110.0
대광노랑반코팅(10P)(L)(A),2023,26370.0
대광노랑반코팅(1P)(A),2023,82009.0
대광면완전코팅(오래)(A),2023,101699.0
대광반코팅(10P)10G,2023,147553.0
대광반코팅(10P)10G(T),2023,0.0
대광반코팅(10P)13g,2023,24620.0
대광반코팅(10P)13g(T),2023,0.0
대광밴드예식,2023,52575.0
대광실완전코팅(5P)(영남),2023,1020.0
대광실완전코팅(힘써),2023,30.0
대광실완전코팅(힘써)(A),2023,462616.0
대광실완전코팅(힘써)(L)(A),2023,6200.0
대광실장갑35g(10P),2023,0.0
대광실장갑40g(10P),2023,0.0
대광실장갑45g(10P),2023,0.0
대광실장갑50g(10P),2023,0.0
대광예식(단추),2023,53457.0
대광예식(무단추),2023,17600.0
대광피특대,2023,180.0
대광흰반코팅(10P)(L)(A),2023,6680.0
동원반코팅(10P),2023,2400.0
동원실완전코팅(A),2023,0.0
두말표고무장갑,2023,83546.0
두말표고무장갑(오른손),2023,1000.0
두말표고무장갑(왼손),2023,7450.0
등천,2023,1930.0
레자토시(고무줄),2023,1100.0
레자토시(시보리),2023,1200.0
렉션개나리,2023,13870.0
렉션미니(투명)10P,2023,-280.0
렉션주황12호(여성용),2023,120.0
렉션황10호,2023,100.0
렉션황12호,2023,300.0
로얄블루수입(L)(10P),2023,254.0
로얄블루수입(M)(10P),2023,355.0
로얄블루수입(S)(10P),2023,145.0
마미손(대)오른손하나,2023,1559.0
마미손(대)왼손하나,2023,957.0
마미손(소)오른손하나,2023,-1.0
마미손(소)왼손하나,2023,60.0
마미손(중)오른손하나,2023,1379.0
마미손(중)왼손하나,2023,540.0
마미손골드,2023,24916.0
마미손미니(핑),2023,9600.0
마미손위생50매(국산)-50각(2호),2023,0.0
마미손위생50매(중국)-50각,2023,14350.0
마미손칼라고무장갑(그레이)(L),2023,1400.0
마미손칼라고무장갑(그레이)(M),2023,0.0
마미손칼라고무장갑(그린)(L),2023,900.0
마미손클래식,2023,4498.0
마미손특대(적),2023,14978.0
마미손특대(투),2023,330.0
마미손특대오른손2개(100입),2023,0.0
마미손특대왼손2개(100입),2023,0.0
