매입처명,상품명,현재고,품절예상월,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06
(주)동원장갑,대광노랑반코팅(10P)(A),4530.0,2026-08,1196.0,-2126.0,-5099.0,-7451.0,-9784.0,-13160.0,-16031.0,-18007.0,-20637.0,-23429.0,-25401.0,-28313.0
(주)동원장갑,대광반코팅(10P)13g,5697.0,2026-10,4195.0,2720.0,293.0,-1942.0,-3925.0,-5037.0,-6363.0,-7622.0,-8774.0,-9909.0,-10782.0,-12044.0
(주)동원장갑,대광실완전코팅(힘써)(A),27861.0,2026-07,-5724.0,-27903.0,-49800.0,-82189.0,-114073.0,-139112.0,-169472.0,-191214.0,-218955.0,-253733.0,-273580.0,-298954.0
(주)동원장갑,동원반코팅(10P),0.0,2026-07,-450.0,-900.0,-1350.0,-1612.0,-2062.0,-2512.0,-2962.0,-3412.0,-3862.0,-4087.0,-4537.0,-4987.0
(주)동원장갑,동원실완전코팅(A),0.0,2026-07,-500.0,-875.0,-1375.0,-1875.0,-2375.0,-2875.0,-3375.0,-3875.0,-4375.0,-4625.0,-5125.0,-5625.0
(주)동원장갑,실장갑40g(10P)(A),4960.0,2026-09,2217.0,944.0,-324.0,-1019.0,-2355.0,-3926.0,-4501.0,-5274.0,-5892.0,-6817.0,-7691.0,-8544.0
(주)동원장갑,오런소프트(L)파,1081.0,2026-10,1041.0,1032.0,901.0,-50.0,-1651.0,-4018.0,-4816.0,-5087.0,-5174.0,-5283.0,-5508.0,-5623.0
(주)동원장갑,오런소프트(M)파,4444.0,2026-12,4281.0,4242.0,4122.0,3288.0,1608.0,-693.0,-1390.0,-1631.0,-1713.0,-1777.0,-1816.0,-1859.0
(주)동원장갑,오런실장갑35죽포(10P)(A),0.0,2026-07,-2368.0,-4644.0,-6955.0,-10023.0,-11743.0,-13961.0,-15499.0,-18364.0,-20710.0,-22781.0,-24975.0,-27425.0
(주)동원장갑,오런하늘코팅(M),31500.0,2027-02,29025.0,22231.0,17517.0,13118.0,9339.0,5896.0,1865.0,-1347.0,-8070.0,-15661.0,-19418.0,-23267.0
(주)동원장갑,후디스줄기사13g(A),47390.0,2026-09,30409.0,11204.0,-12435.0,-24739.0,-40155.0,-54601.0,-81639.0,-89386.0,-99425.0,-122384.0,-134368.0,-146185.0
(주)디제이씨한국다정,대광TC예식,-2420.0,2026-07,-31082.0,-53314.0,-83752.0,-117975.0,-151759.0,-191695.0,-220116.0,-244405.0,-273574.0,-302637.0,-330620.0,-358600.0
(주)디제이씨한국다정,대광기누(L)백(10P)(3-4L),190.0,2026-10,148.0,93.0,48.0,-2.0,-67.0,-104.0,-148.0,-170.0,-231.0,-301.0,-336.0,-404.0
(주)디제이씨한국다정,대광기누(L)살(10P),270.0,2026-10,241.0,194.0,160.0,-9.0,-99.0,-185.0,-271.0,-310.0,-422.0,-542.0,-579.0,-657.0
(주)디제이씨한국다정,대광기누(L)청(10P)(3-2L),1659.0,2026-10,1166.0,776.0,103.0,-363.0,-1237.0,-1927.0,-2445.0,-2864.0,-3357.0,-3894.0,-4401.0,-4946.0
(주)디제이씨한국다정,대광기누(L)커(10P),75.0,2026-08,23.0,-12.0,-32.0,-129.0,-276.0,-380.0,-409.0,-440.0,-520.0,-669.0,-677.0,-707.0
